ID	Gene Name	Species	ENTREZ_GENE_ID
AGPAT6	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)	Homo sapiens	137964,
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	Homo sapiens	84680,
CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	Homo sapiens	1267,
OASL	2'-5'-oligoadenylate synthetase-like	Homo sapiens	8638,
BPGM	2,3-bisphosphoglycerate mutase	Homo sapiens	669,
HACL1	2-hydroxyacyl-CoA lyase 1	Homo sapiens	26061,
OGFOD2	2-oxoglutarate and iron-dependent oxygenase domain containing 2	Homo sapiens	79676,
DHCR24	24-dehydrocholesterol reductase	Homo sapiens	1718,
PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	Homo sapiens	9061,
HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	Homo sapiens	3156,
HAAO	3-hydroxyanthranilate 3,4-dioxygenase	Homo sapiens	23498,
HIBADH	3-hydroxyisobutyrate dehydrogenase	Homo sapiens	11112,
HMGCL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase	Homo sapiens	3155,
OXCT2	3-oxoacid CoA transferase 2	Homo sapiens	64064,
PDPK1	3-phosphoinositide dependent protein kinase-1	Homo sapiens	5170,
ABAT	4-aminobutyrate aminotransferase	Homo sapiens	18,
NT5C	5', 3'-nucleotidase, cytosolic	Homo sapiens	30833,
NT5M	5',3'-nucleotidase, mitochondrial	Homo sapiens	56953,
XRN1	5'-3' exoribonuclease 1	Homo sapiens	54464,
XRN2	5'-3' exoribonuclease 2	Homo sapiens	22803,
NT5C2	5'-nucleotidase, cytosolic II	Homo sapiens	22978,
NT5E	5'-nucleotidase, ecto (CD73)	Homo sapiens	4907,
MTHFS	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)	Homo sapiens	10588,
MTHFR	5,10-methylenetetrahydrofolate reductase (NADPH)	Homo sapiens	4524,
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	Homo sapiens	471,
AZI2	5-azacytidine induced 2	Homo sapiens	64343,
HTR1A	5-hydroxytryptamine (serotonin) receptor 1A	Homo sapiens	3350,
HTR1B	5-hydroxytryptamine (serotonin) receptor 1B	Homo sapiens	3351,
HTR1D	5-hydroxytryptamine (serotonin) receptor 1D	Homo sapiens	3352,
HTR1F	5-hydroxytryptamine (serotonin) receptor 1F	Homo sapiens	3355,
HTR2A	5-hydroxytryptamine (serotonin) receptor 2A	Homo sapiens	3356,
HTR2B	5-hydroxytryptamine (serotonin) receptor 2B	Homo sapiens	3357,
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C	Homo sapiens	3358,
HTR3A	5-hydroxytryptamine (serotonin) receptor 3A	Homo sapiens	3359,
HTR4	5-hydroxytryptamine (serotonin) receptor 4	Homo sapiens	3360,
HTR6	5-hydroxytryptamine (serotonin) receptor 6	Homo sapiens	3362,
HTR7	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)	Homo sapiens	3363,
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	Homo sapiens	4548,
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	Homo sapiens	4552,
PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	Homo sapiens	5208,
PGLS	6-phosphogluconolactonase	Homo sapiens	25796,
PTS	6-pyruvoyltetrahydropterin synthase	Homo sapiens	5805,
OGG1	8-oxoguanine DNA glycosylase	Homo sapiens	4968,
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	Homo sapiens	10142,
AKAP1	A kinase (PRKA) anchor protein 1	Homo sapiens	8165,
AKAP10	A kinase (PRKA) anchor protein 10	Homo sapiens	11216,
AKAP11	A kinase (PRKA) anchor protein 11	Homo sapiens	11215,
AKAP12	A kinase (PRKA) anchor protein 12	Homo sapiens	9590,
AKAP13	A kinase (PRKA) anchor protein 13	Homo sapiens	11214,
AKAP14	A kinase (PRKA) anchor protein 14	Homo sapiens	158798,
AKAP2	A kinase (PRKA) anchor protein 2; paralemmin 2; PALM2-AKAP2 readthrough transcript	Homo sapiens	11217,114299,445815,
AKAP3	A kinase (PRKA) anchor protein 3	Homo sapiens	10566,
AKAP4	A kinase (PRKA) anchor protein 4	Homo sapiens	8852,
AKAP5	A kinase (PRKA) anchor protein 5	Homo sapiens	9495,
AKAP6	A kinase (PRKA) anchor protein 6	Homo sapiens	9472,
AKAP7	A kinase (PRKA) anchor protein 7	Homo sapiens	9465,
AKAP8	A kinase (PRKA) anchor protein 8	Homo sapiens	10270,
AKAP8L	A kinase (PRKA) anchor protein 8-like	Homo sapiens	26993,
ABI3	ABI family, member 3	Homo sapiens	51225,
ABI3BP	ABI family, member 3 (NESH) binding protein	Homo sapiens	25890,
ADAM10	ADAM metallopeptidase domain 10	Homo sapiens	102,
